censusID,mHI,mHI_MOE,NoComp_Cnt,NoComp_Pct,YesComp_Cnt,YesCom_Pct,NoInternet_Cnt,NoInternet_Pct,YesInternet_Cnt,YesInternet_Pct
2717100,68889,2923,292,11.30906274,2290,88.69093726,410,15.18518519,2290,84.81481481
2717220,72875,4406,121,6.378492356,1776,93.62150764,214,10.75376884,1776,89.24623116
2717250,63385,4525,357,8.933933934,3639,91.06606607,412,10.17032831,3639,89.82967169
2717520,63472,3537,548,12.52571429,3827,87.47428571,614,13.82571493,3827,86.17428507
2717570,49521,6154,214,13.14496314,1414,86.85503686,365,20.51714446,1414,79.48285554
2717780,107695,2937,712,3.470123794,19806,96.52987621,947,4.563195683,19806,95.43680432
2717880,58646,6500,51,14.40677966,303,85.59322034,65,17.66304348,303,82.33695652
2717910,58516,5189,102,13.58189081,649,86.41810919,136,17.32484076,649,82.67515924
2717940,55536,4072,78,9.911054638,709,90.08894536,115,13.95631068,709,86.04368932
2718090,69122,4397,238,13.70967742,1498,86.29032258,298,16.59242762,1498,83.40757238
2718210,61330,2401,695,12.90142937,4692,87.09857063,896,16.03435934,4692,83.96564066
2718240,51282,2210,1231,14.58358014,7210,85.41641986,1551,17.70345851,7210,82.29654149
2718270,50000,12523,131,15.32163743,724,84.67836257,168,18.83408072,724,81.16591928
2718330,58042,3888,324,10.08089608,2890,89.91910392,500,14.74926254,2890,85.25073746
2718360,49318,11542,71,14.05940594,434,85.94059406,103,19.18063315,434,80.81936685
2718540,56146,6348,247,20.75630252,943,79.24369748,271,22.32289951,943,77.67710049
2718570,53550,7948,237,14.61159063,1385,85.38840937,281,16.8667467,1385,83.1332533
2718660,41895,1336,337,20.10739857,1339,79.89260143,404,23.178428,1339,76.821572
2718750,106875,6073,675,10.8,5575,89.2,743,11.76005065,5575,88.23994935
2718780,54846,2357,2110,7.501688769,26017,92.49831123,2931,10.12505182,26017,89.87494818
