,district_name,state_code,school_code,geo_id,pop_count,mhi,mhi_moe,no_comp,yes_comp,percent_comp,percent_nocomp,no_int,yes_int,percent_int,percent_noint
2733810,"South Washington County School District, Minnesota",27,33810,2733810,7200,97320,2392,1528,34804,483.39,21.22,2015,34804,483.39,27.99
2733840,"St. Paul Public School District, Minnesota",27,33840,2733840,26000,55085,938,10588,112999,434.61,40.72,14650,112999,434.61,56.35
2733870,"St. Peter Public School District, Minnesota",27,33870,2733870,2400,61064,3322,557,5158,214.92,23.21,600,5158,214.92,25.0
2733900,"Staples-Motley School District, Minnesota",27,33900,2733900,2700,44948,2880,783,4220,156.3,29.0,950,4220,156.3,35.19
2738160,"Stewartville Public School District, Minnesota",27,38160,2738160,1700,71189,6588,327,3489,205.24,19.24,440,3489,205.24,25.88
2738190,"Stillwater Area Public School District, Minnesota",27,38190,2738190,8000,96699,3072,1340,23636,295.45,16.75,1716,23636,295.45,21.45
2738280,"Swanville Public School District, Minnesota",27,38280,2738280,800,66000,7271,111,710,88.75,13.88,147,710,88.75,18.38
2738850,"Thief River Falls School District, Minnesota",27,38850,2738850,2400,60163,5891,814,5813,242.21,33.92,992,5813,242.21,41.33
2738880,"Esko Public School District, Minnesota",27,38880,2738880,500,82723,11365,140,1853,370.6,28.0,211,1853,370.6,42.2
2740665,"Triton School District, Minnesota",27,40665,2740665,2200,63616,2849,333,2653,120.59,15.14,406,2653,120.59,18.45
2740680,"Truman Public School District, Minnesota",27,40680,2740680,900,52689,3869,164,971,107.89,18.22,236,971,107.89,26.22
2740740,"Lake Superior Public School District, Minnesota",27,40740,2740740,2700,61599,4172,718,6222,230.44,26.59,996,6222,230.44,36.89
2740810,"Ulen-Hitterdal Public School District, Minnesota",27,40810,2740810,700,63109,4353,136,667,95.29,19.43,174,667,95.29,24.86
2740830,"Underwood Public School District, Minnesota",27,40830,2740830,950,68854,3510,119,1024,107.79,12.53,152,1024,107.79,16.0
2740860,"Upsala Public School District, Minnesota",27,40860,2740860,850,64167,3471,127,790,92.94,14.94,173,790,92.94,20.35
2740920,"Verndale Public School District, Minnesota",27,40920,2740920,800,47981,5481,106,677,84.62,13.25,116,677,84.62,14.5
2741040,"Virginia Public School District, Minnesota",27,41040,2741040,1600,46707,2739,1005,5284,330.25,62.81,1257,5284,330.25,78.56
2741060,"Wabasha-Kellogg Public School District, Minnesota",27,41060,2741060,1300,59754,4142,256,2232,171.69,19.69,326,2232,171.69,25.08
2741880,"Waseca Public School District, Minnesota",27,41880,2741880,1800,51087,3005,586,4819,267.72,32.56,772,4819,267.72,42.89
2741430,"Wabasso Public School District, Minnesota",27,41430,2741430,1300,57109,5793,166,985,75.77,12.77,233,985,75.77,17.92
2741460,"Waconia Public School District, Minnesota",27,41460,2741460,2900,97574,5958,589,7433,256.31,20.31,672,7433,256.31,23.17
2741850,"Warroad Public School District, Minnesota",27,41850,2741850,1200,54950,5629,418,2292,191.0,34.83,510,2292,191.0,42.5
2741910,"Watertown-Mayer Public School District, Minnesota",27,41910,2741910,1800,86875,4543,301,3548,197.11,16.72,346,3548,197.11,19.22
